cluster_rep	cluster_size	chosen_fasta_id	reason	beta_res	helix_res	beta_strands	helices
7QO5_EMD-14084_HA	4	7QO6_EMD-14085_HA	residue_sum=583	19	564	9	49
7QO5_EMD-14084_IA	3	7QO5_EMD-14084_IA	residue_sum=557	29	528	10	48
7QO5_EMD-14084_K	3	7QO6_EMD-14085_K	residue_sum=223	61	162	12	13
7QO5_EMD-14084_L	3	7QO6_EMD-14085_L	residue_sum=219	51	168	13	15
7QO5_EMD-14084_M	3	7QO6_EMD-14085_M	residue_sum=224	55	169	12	15
7QO5_EMD-14084_N	3	7QO5_EMD-14084_N	residue_sum=557	29	528	10	48
7QO6_EMD-14085_JA	3	7QO6_EMD-14085_JA	residue_sum=349	12	337	3	22
7QO6_EMD-14085_KA	3	7QO3_EMD-14082_KA	residue_sum=333	11	322	3	24
7QO6_EMD-14085_LA	3	7QO6_EMD-14085_LA	residue_sum=323	9	314	4	21
7QOO_EMD-14098_A	1	7QOO_EMD-14098_A	singleton	1	0	1	0
7QOO_EMD-14098_B	1	7QOO_EMD-14098_B	singleton	0	174	0	5
7QOO_EMD-14098_C	1	7QOO_EMD-14098_C	singleton	1	0	1	0
7QOO_EMD-14098_D	1	7QOO_EMD-14098_D	singleton	9	156	3	8
7QOO_EMD-14098_E	1	7QOO_EMD-14098_E	singleton	69	105	16	8
7QOO_EMD-14098_F	1	7QOO_EMD-14098_F	singleton	30	55	5	6
7QOO_EMD-14098_G	1	7QOO_EMD-14098_G	singleton	55	105	12	13
7QOO_EMD-14098_H	1	7QOO_EMD-14098_H	singleton	0	174	0	5
7QOO_EMD-14098_I	1	7QOO_EMD-14098_I	singleton	2	344	2	31
7QOO_EMD-14098_J	1	7QOO_EMD-14098_J	singleton	0	140	0	7
7QOO_EMD-14098_K	1	7QOO_EMD-14098_K	singleton	9	156	3	8
7QOO_EMD-14098_L	1	7QOO_EMD-14098_L	singleton	69	105	16	8
7QOO_EMD-14098_M	1	7QOO_EMD-14098_M	singleton	30	55	5	6
7QOO_EMD-14098_N	1	7QOO_EMD-14098_N	singleton	55	105	12	13
7QY7_EMD-14209_C	4	7QYA_EMD-14210_C	residue_sum=207	51	156	15	17
7QY7_EMD-14209_M	4	7QYA_EMD-14210_M	residue_sum=137	58	79	13	6
7QY7_EMD-14209_N	4	6WJN_EMD-21696_OA	residue_sum=150	36	114	12	11
7QY7_EMD-14209_R	4	6WJN_EMD-21696_SA	residue_sum=195	42	153	12	13
7QY7_EMD-14209_T	4	6WJD_EMD-21691_U	residue_sum=399	12	387	8	49
7QY7_EMD-14209_W	4	6WJD_EMD-21691_X	residue_sum=272	4	268	4	20
7QYA_EMD-14210_B	4	7QYA_EMD-14210_B	residue_sum=198	55	143	11	16
7QYA_EMD-14210_D	4	7QYA_EMD-14210_D	residue_sum=202	52	150	10	13
7QYA_EMD-14210_E	4	7QY7_EMD-14209_E	residue_sum=204	48	156	10	14
7QYA_EMD-14210_F	4	6WJN_EMD-21696_TA	residue_sum=430	0	430	0	43
7QYA_EMD-14210_FA	4	6WJN_EMD-21696_Y	residue_sum=240	1	239	1	20
7QYA_EMD-14210_G	4	6WJD_EMD-21691_A	residue_sum=202	49	153	11	19
7QYA_EMD-14210_J	4	6WJD_EMD-21691_D	residue_sum=223	55	168	10	18
7QYA_EMD-14210_K	4	6WJD_EMD-21691_E	residue_sum=206	52	154	10	14
7QYA_EMD-14210_L	4	6WJD_EMD-21691_F	residue_sum=199	41	158	15	13
7R0C_EMD-14221_A	1	7R0C_EMD-14221_A	singleton	4	199	1	11
7R0C_EMD-14221_C	2	8GP3_EMD-34188_A	residue_sum=179	162	17	24	3
7R0C_EMD-14221_D	1	7R0C_EMD-14221_D	singleton	107	12	23	4
7R7T_EMD-24304_G	1	7R7T_EMD-24304_G	singleton	15	22	7	2
7R9H_EMD-24325_A	3	7R9H_EMD-24325_A	residue_sum=282	51	231	20	21
7RD8_EMD-24415_A	1	7RD8_EMD-24415_A	singleton	157	428	33	37
7RDR_EMD-24425_A	1	7RDR_EMD-24425_A	singleton	0	415	0	16
7RIT_EMD-23804_A	1	7RIT_EMD-23804_A	singleton	21	360	13	22
7RMF_EMD-24566_A	3	7RMF_EMD-24566_A	residue_sum=338	112	226	25	25
7RO2_EMD-24585_A	2	7RO2_EMD-24585_A	residue_sum=78	0	78	0	2
7RSI_EMD-24672_A	5	7RYQ_EMD-24745_A	residue_sum=389	0	389	0	23
7RSI_EMD-24672_B	1	7RSI_EMD-24672_B	singleton	0	292	0	19
7RUG_EMD-24705_A	1	7RUG_EMD-24705_A	singleton	2	256	2	13
7RWA_EMD-24712_A	1	7RWA_EMD-24712_A	singleton	4	426	2	37
7RWA_EMD-24712_B	1	7RWA_EMD-24712_B	singleton	1	333	1	28
7RWA_EMD-24712_C	1	7RWA_EMD-24712_C	singleton	173	50	29	5
7RWA_EMD-24712_D	1	7RWA_EMD-24712_D	singleton	36	65	7	5
7RWA_EMD-24712_E	1	7RWA_EMD-24712_E	singleton	3	0	1	0
7S0E_EMD-24788_B	1	7S0E_EMD-24788_B	singleton	70	3	18	1
7S64_EMD-24849_A	1	7S64_EMD-24849_A	singleton	505	203	92	18
7S9C_EMD-24932_A	2	7S9C_EMD-24932_A	residue_sum=404	26	378	10	28
7SIN_EMD-25145_A	2	7SIN_EMD-25145_A	residue_sum=469	118	351	32	25
7SOX_EMD-25362_A	1	7SOX_EMD-25362_A	singleton	48	244	12	23
7SQJ_EMD-25386_A	1	7SQJ_EMD-25386_A	singleton	73	219	32	12
7SQK_EMD-25387_A	1	7SQK_EMD-25387_A	singleton	1	230	1	9
7SQK_EMD-25387_B	1	7SQK_EMD-25387_B	singleton	0	153	0	8
7SQK_EMD-25387_C	1	7SQK_EMD-25387_C	singleton	3	467	3	19
7SQK_EMD-25387_D	1	7SQK_EMD-25387_D	singleton	2	255	2	8
7SQK_EMD-25387_E	1	7SQK_EMD-25387_E	singleton	4	488	4	20
7SQK_EMD-25387_F	1	7SQK_EMD-25387_F	singleton	4	270	2	14
7SQK_EMD-25387_G	1	7SQK_EMD-25387_G	singleton	0	246	0	18
7SQK_EMD-25387_H	1	7SQK_EMD-25387_H	singleton	0	177	0	3
7STI_EMD-25429_C	15	7STI_EMD-25429_C	residue_sum=25	2	23	2	3
7SXA_EMD-25496_A	1	7SXA_EMD-25496_A	singleton	0	177	0	18
7SZ4_EMD-25560_A	2	7SZ4_EMD-25560_A	residue_sum=263	43	220	13	15
7T17_EMD-25606_C	1	7T17_EMD-25606_C	singleton	168	20	38	5
7T17_EMD-25606_D	1	7T17_EMD-25606_D	singleton	53	3	12	1
7T54_EMD-25694_A	1	7T54_EMD-25694_A	singleton	79	396	20	25
7T8C_EMD-25744_A	1	7T8C_EMD-25744_A	singleton	112	184	28	23
7TC9_EMD-25806_B	3	6ZDG_EMD-11173_B	residue_sum=115	106	9	21	3
7TC9_EMD-25806_C	2	7U0D_EMD-26256_C	residue_sum=132	111	21	21	5
7TDM_EMD-25834_B	3	8U5B_EMD-41915_B	residue_sum=77	68	9	9	2
7TDZ_EMD-25817_A	3	7TDZ_EMD-25817_A	residue_sum=879	198	681	36	54
7TDZ_EMD-25817_C	1	7TDZ_EMD-25817_C	singleton	21	453	5	34
7TDZ_EMD-25817_D	1	7TDZ_EMD-25817_D	singleton	166	9	30	3
7TDZ_EMD-25817_E	1	7TDZ_EMD-25817_E	singleton	160	6	25	2
7TDZ_EMD-25817_H	3	7WB4_EMD-32394_S	residue_sum=1260	22	1238	12	86
7TDZ_EMD-25817_Q	2	7TDZ_EMD-25817_Q	residue_sum=547	3	544	3	40
7TDZ_EMD-25817_Z	3	7WB4_EMD-32394_A	residue_sum=1260	22	1238	12	86
7TEE_EMD-25845_B	4	7TER_EMD-25850_B	residue_sum=399	114	285	35	28
7TEE_EMD-25845_E	1	7TEE_EMD-25845_E	singleton	43	0	11	0
7TEE_EMD-25845_F	1	7TEE_EMD-25845_F	singleton	40	0	12	0
7TEQ_EMD-25849_E	3	7TER_EMD-25850_E	residue_sum=102	96	6	18	2
7TER_EMD-25850_F	3	7TES_EMD-25851_F	residue_sum=100	91	9	26	2
7TIT_EMD-25914_G	3	7TIJ_EMD-25911_G	residue_sum=26	0	26	0	3
7TK3_EMD-25955_T	27	7TKG_EMD-25968_T	residue_sum=167	0	167	0	10
7TK3_EMD-25955_U	27	7TKC_EMD-25964_U	residue_sum=151	0	151	0	2
7TK3_EMD-25955_V	27	7TKP_EMD-25977_V	residue_sum=110	1	109	1	8
7TK5_EMD-25957_Q	27	7TKP_EMD-25977_Q	residue_sum=216	37	179	7	8
7TK5_EMD-25957_R	27	7TKM_EMD-25974_R	residue_sum=91	55	36	7	3
7TK7_EMD-25959_K	27	7TK8_EMD-25960_K	residue_sum=314	99	215	27	23
7TK7_EMD-25959_Z	27	7TK7_EMD-25959_Z	residue_sum=42	0	42	0	2
7TK9_EMD-25961_A	27	7TK8_EMD-25960_A	residue_sum=314	99	215	27	23
7TK9_EMD-25961_W	27	7TKB_EMD-25963_W	residue_sum=47	6	41	3	4
7TKC_EMD-25964_S	27	7TK3_EMD-25955_S	residue_sum=26	8	18	4	2
7TKE_EMD-25966_N	27	7TKO_EMD-25976_N	residue_sum=282	100	182	26	18
7TKG_EMD-25968_X	27	7TK9_EMD-25961_X	residue_sum=30	0	30	0	3
7TKG_EMD-25968_Y	27	7TK2_EMD-25954_Y	residue_sum=25	0	25	0	2
7TKO_EMD-25976_AA	27	7TK7_EMD-25959_AA	residue_sum=42	0	42	0	2
7TNK_EMD-26012_A	7	8VJ7_EMD-43276_A	residue_sum=470	134	336	38	31
7TSZ_EMD-26105_F	4	7RJ5_EMD-24481_A	residue_sum=378	244	134	45	12
7TUK_EMD-26117_A	1	7TUK_EMD-26117_A	singleton	0	136	0	3
7TUL_EMD-26118_A	1	7TUL_EMD-26118_A	singleton	0	122	0	5
7TW0_EMD-26146_A	5	7TW5_EMD-26151_A	residue_sum=534	87	447	23	36
7TW0_EMD-26146_C	4	7TW1_EMD-26147_C	residue_sum=372	263	109	41	14
7TW5_EMD-26151_D	2	7TW6_EMD-26153_D	residue_sum=303	0	303	0	38
7U0D_EMD-26256_D	1	7U0D_EMD-26256_D	singleton	66	3	21	1
7U0D_EMD-26256_E	2	6Y92_EMD-10732_B	residue_sum=108	2	106	2	6
7U14_EMD-26277_A	1	7U14_EMD-26277_A	singleton	94	0	12	0
7U23_EMD-26306_A	2	7XLC_EMD-31673_A	residue_sum=325	229	96	67	18
7U23_EMD-26306_C	1	7U23_EMD-26306_C	singleton	0	25	0	3
7U6D_EMD-26363_A	1	7U6D_EMD-26363_A	singleton	0	24	0	2
7U6F_EMD-24964_B	2	6VAC_EMD-21136_B	residue_sum=138	135	3	31	1
7U6Y_EMD-26308_A	5	7UAA_EMD-26312_A	residue_sum=200	90	110	21	11
7U6Y_EMD-26308_E	5	7U1E_EMD-26299_E	residue_sum=1005	70	935	33	52
7UBB_EMD-26437_A	1	7UBB_EMD-26437_A	singleton	34	39	5	4
7UIF_EMD-26544_A	1	7UIF_EMD-26544_A	singleton	236	593	68	61
7UIF_EMD-26544_AA	1	7UIF_EMD-26544_AA	singleton	91	59	12	7
7UIF_EMD-26544_B	1	7UIF_EMD-26544_B	singleton	293	337	70	40
7UIF_EMD-26544_BA	1	7UIF_EMD-26544_BA	singleton	1	21	1	3
7UIF_EMD-26544_C	1	7UIF_EMD-26544_C	singleton	72	67	12	7
7UIF_EMD-26544_CA	1	7UIF_EMD-26544_CA	singleton	74	51	11	6
7UIF_EMD-26544_D	1	7UIF_EMD-26544_D	singleton	7	102	3	9
7UIF_EMD-26544_DA	1	7UIF_EMD-26544_DA	singleton	0	103	0	3
7UIF_EMD-26544_E	1	7UIF_EMD-26544_E	singleton	51	91	14	13
7UIF_EMD-26544_EA	1	7UIF_EMD-26544_EA	singleton	0	84	0	3
7UIF_EMD-26544_F	1	7UIF_EMD-26544_F	singleton	14	32	5	4
7UIF_EMD-26544_FA	1	7UIF_EMD-26544_FA	singleton	0	75	0	7
7UIF_EMD-26544_G	1	7UIF_EMD-26544_G	singleton	83	22	15	4
7UIF_EMD-26544_H	1	7UIF_EMD-26544_H	singleton	69	3	8	1
7UIF_EMD-26544_I	1	7UIF_EMD-26544_I	singleton	29	3	9	1
7UIF_EMD-26544_J	1	7UIF_EMD-26544_J	singleton	3	29	3	4
7UIF_EMD-26544_K	1	7UIF_EMD-26544_K	singleton	27	48	4	3
7UIF_EMD-26544_L	1	7UIF_EMD-26544_L	singleton	7	0	3	0
7UIF_EMD-26544_M	1	7UIF_EMD-26544_M	singleton	13	0	3	0
7UIF_EMD-26544_N	1	7UIF_EMD-26544_N	singleton	39	9	8	2
7UIF_EMD-26544_O	1	7UIF_EMD-26544_O	singleton	46	25	6	3
7UIF_EMD-26544_P	1	7UIF_EMD-26544_P	singleton	39	9	8	2
7UIF_EMD-26544_Q	1	7UIF_EMD-26544_Q	singleton	46	25	6	3
7UIF_EMD-26544_R	1	7UIF_EMD-26544_R	singleton	0	131	0	8
7UIF_EMD-26544_S	1	7UIF_EMD-26544_S	singleton	17	85	4	7
7UIF_EMD-26544_T	1	7UIF_EMD-26544_T	singleton	6	117	2	6
7UIF_EMD-26544_U	1	7UIF_EMD-26544_U	singleton	0	106	0	6
7UIF_EMD-26544_V	1	7UIF_EMD-26544_V	singleton	0	71	0	4
7UIF_EMD-26544_W	1	7UIF_EMD-26544_W	singleton	1	119	1	5
7UIF_EMD-26544_X	1	7UIF_EMD-26544_X	singleton	0	91	0	4
7UIF_EMD-26544_Y	1	7UIF_EMD-26544_Y	singleton	148	277	26	19
7UIF_EMD-26544_Z	1	7UIF_EMD-26544_Z	singleton	90	253	14	18
7UJJ_EMD-26563_A	1	7UJJ_EMD-26563_A	singleton	67	107	15	11
7UJJ_EMD-26563_B	1	7UJJ_EMD-26563_B	singleton	34	11	8	1
7UJJ_EMD-26563_C	1	7UJJ_EMD-26563_C	singleton	32	11	7	1
7URR_EMD-26717_A	1	7URR_EMD-26717_A	singleton	6	764	4	67
7UUS_EMD-26802_A	1	7UUS_EMD-26802_A	singleton	91	231	25	25
7UUS_EMD-26802_B	1	7UUS_EMD-26802_B	singleton	50	104	22	16
7UUS_EMD-26802_Q	1	7UUS_EMD-26802_Q	singleton	0	140	0	9
7UY8_EMD-26867_A	1	7UY8_EMD-26867_A	singleton	14	67	6	6
7UY8_EMD-26867_B	1	7UY8_EMD-26867_B	singleton	88	94	25	11
7UY8_EMD-26867_C	1	7UY8_EMD-26867_C	singleton	41	159	11	16
7UY8_EMD-26867_D	1	7UY8_EMD-26867_D	singleton	12	149	7	12
7V6O_EMD-31744_A	1	7V6O_EMD-31744_A	singleton	247	238	61	21
7V6O_EMD-31744_D	1	7V6O_EMD-31744_D	singleton	92	12	20	2
7V6O_EMD-31744_E	1	7V6O_EMD-31744_E	singleton	88	4	19	1
7VAK_EMD-31845_A	1	7VAK_EMD-31845_A	singleton	134	207	35	19
7VAK_EMD-31845_D	1	7VAK_EMD-31845_D	singleton	98	170	31	19
7VAK_EMD-31845_G	1	7VAK_EMD-31845_G	singleton	12	156	2	3
7VAK_EMD-31845_H	1	7VAK_EMD-31845_H	singleton	16	48	4	5
7VAK_EMD-31845_I	1	7VAK_EMD-31845_I	singleton	0	35	0	2
7VAK_EMD-31845_J	1	7VAK_EMD-31845_J	singleton	15	79	4	6
7VGA_EMD-31966_A	1	7VGA_EMD-31966_A	singleton	0	22	0	1
7VGA_EMD-31966_B	1	7VGA_EMD-31966_B	singleton	0	33	0	4
7VGA_EMD-31966_C	1	7VGA_EMD-31966_C	singleton	45	12	15	2
7VH2_EMD-31984_A	1	7VH2_EMD-31984_A	singleton	100	659	42	67
7VI9_EMD-32004_A	2	7VI9_EMD-32004_A	residue_sum=151	77	74	22	9
7VII_EMD-32010_H	1	7VII_EMD-32010_H	singleton	32	8	11	2
7VM2_EMD-32032_A	1	7VM2_EMD-32032_A	singleton	119	308	32	27
7VON_EMD-32051_A	1	7VON_EMD-32051_A	singleton	453	218	100	24
7VSR_EMD-32114_A	1	7VSR_EMD-32114_A	singleton	41	142	9	17
7VSR_EMD-32114_M	1	7VSR_EMD-32114_M	singleton	45	133	12	10
7VWX_EMD-32164_A	1	7VWX_EMD-32164_A	singleton	82	266	22	21
7VWX_EMD-32164_C	1	7VWX_EMD-32164_C	singleton	80	266	18	21
7VWX_EMD-32164_CA	1	7VWX_EMD-32164_CA	singleton	2	84	2	16
7WB4_EMD-32394_B	3	7TDZ_EMD-25817_N	residue_sum=544	0	544	0	40
7WB4_EMD-32394_C	3	7TDZ_EMD-25817_L	residue_sum=1330	27	1303	15	99
7WB4_EMD-32394_D	3	7TDZ_EMD-25817_V	residue_sum=180	180	0	31	0
7WB4_EMD-32394_E	3	7WB4_EMD-32394_E	residue_sum=845	204	641	34	56
7WB4_EMD-32394_H	3	7TDZ_EMD-25817_X	residue_sum=879	198	681	36	54
7WB4_EMD-32394_K	2	7TDZ_EMD-25817_P	residue_sum=544	0	544	0	40
7WB4_EMD-32394_L	3	7WB4_EMD-32394_L	residue_sum=446	19	427	11	35
7WB4_EMD-32394_M	3	7WB4_EMD-32394_M	residue_sum=547	2	545	2	38
7WB4_EMD-32394_R	1	7WB4_EMD-32394_R	singleton	19	427	11	35
7WB4_EMD-32394_Z	1	7WB4_EMD-32394_Z	singleton	235	379	31	30
7WJI_EMD-32544_A	1	7WJI_EMD-32544_A	singleton	28	1053	15	86
7WJI_EMD-32544_B	1	7WJI_EMD-32544_B	singleton	9	940	2	80
7WJI_EMD-32544_D	1	7WJI_EMD-32544_D	singleton	6	61	4	5
7WJI_EMD-32544_E	1	7WJI_EMD-32544_E	singleton	4	71	2	8
7WLU_EMD-32593_A	2	7WLU_EMD-32593_A	residue_sum=1083	88	995	16	62
7WOW_EMD-32661_D	1	7WOW_EMD-32661_D	singleton	41	0	15	0
7WOW_EMD-32661_E	1	7WOW_EMD-32661_E	singleton	79	6	21	2
7WZ8_EMD-32906_A	1	7WZ8_EMD-32906_A	singleton	42	80	11	5
7WZN_EMD-32907_A	1	7WZN_EMD-32907_A	singleton	32	475	13	38
7WZN_EMD-32907_B	1	7WZN_EMD-32907_B	singleton	14	461	9	35
7WZN_EMD-32907_C	1	7WZN_EMD-32907_C	singleton	16	13	4	3
7WZN_EMD-32907_D	1	7WZN_EMD-32907_D	singleton	31	25	10	4
7WZN_EMD-32907_E	1	7WZN_EMD-32907_E	singleton	21	0	5	0
7WZN_EMD-32907_F	1	7WZN_EMD-32907_F	singleton	5	108	4	7
7WZN_EMD-32907_G	1	7WZN_EMD-32907_G	singleton	31	19	7	4
7WZN_EMD-32907_I	1	7WZN_EMD-32907_I	singleton	2	109	2	8
7WZN_EMD-32907_J	1	7WZN_EMD-32907_J	singleton	0	30	0	2
7WZN_EMD-32907_K	1	7WZN_EMD-32907_K	singleton	2	118	2	8
7WZN_EMD-32907_L	2	7WZN_EMD-32907_H	residue_sum=106	4	102	2	7
7WZN_EMD-32907_M	1	7WZN_EMD-32907_M	singleton	2	104	2	6
7WZN_EMD-32907_N	1	7WZN_EMD-32907_N	singleton	6	108	6	8
7WZN_EMD-32907_O	1	7WZN_EMD-32907_O	singleton	10	104	8	6
7WZN_EMD-32907_P	1	7WZN_EMD-32907_P	singleton	31	19	7	4
7WZR_EMD-32912_A	1	7WZR_EMD-32912_A	singleton	15	1304	11	120
7WZR_EMD-32912_B	1	7WZR_EMD-32912_B	singleton	10	299	10	25
7X3K_EMD-32991_A	1	7X3K_EMD-32991_A	singleton	4	123	3	13
7X3K_EMD-32991_B	1	7X3K_EMD-32991_B	singleton	180	166	26	18
7X59_EMD-33012_A	1	7X59_EMD-33012_A	singleton	76	103	15	12
7X6Q_EMD-33025_H	3	7LUM_EMD-23522_M	residue_sum=365	93	272	25	19
7XW7_EMD-33493_A	1	7XW7_EMD-33493_A	singleton	111	6	22	2
7XW7_EMD-33493_B	1	7XW7_EMD-33493_B	singleton	87	242	26	13
7XXL_EMD-33506_A	1	7XXL_EMD-33506_A	singleton	129	12	19	4
7XXL_EMD-33506_B	1	7XXL_EMD-33506_B	singleton	54	30	15	7
7XY3_EMD-33509_D	1	7XY3_EMD-33509_D	singleton	56	3	12	1
7Y1A_EMD-33558_A	1	7Y1A_EMD-33558_A	singleton	0	17	0	2
7Y1A_EMD-33558_B	1	7Y1A_EMD-33558_B	singleton	2	100	2	9
7Y1Q_EMD-33570_A	1	7Y1Q_EMD-33570_A	singleton	0	305	0	19
7Y1Q_EMD-33570_B	1	7Y1Q_EMD-33570_B	singleton	0	25	0	1
7Y59_EMD-33613_A	1	7Y59_EMD-33613_A	singleton	109	311	26	32
7Y5C_EMD-33616_A	3	7Y5C_EMD-33616_A	residue_sum=312	99	213	27	21
7Y5C_EMD-33616_D	2	7Y5D_EMD-33617_P	residue_sum=269	86	183	20	20
7Y5C_EMD-33616_G	2	7Y5C_EMD-33616_G	residue_sum=202	30	172	7	7
7Y5C_EMD-33616_H	2	7Y5D_EMD-33617_T	residue_sum=69	49	20	10	2
7Y5C_EMD-33616_I	2	7Y5D_EMD-33617_A	residue_sum=283	80	203	20	19
7Y5C_EMD-33616_J	2	7Y5D_EMD-33617_B	residue_sum=305	95	210	25	22
7Y5C_EMD-33616_K	2	7Y5C_EMD-33616_K	residue_sum=338	19	319	6	19
7Y5C_EMD-33616_L	3	7Y5D_EMD-33617_D	residue_sum=269	86	183	20	20
7Y5V_EMD-33626_B	2	7Y5V_EMD-33626_B	residue_sum=180	180	0	32	0
7Y5V_EMD-33626_C	2	7Y5V_EMD-33626_C	residue_sum=196	166	30	32	4
7YFM_EMD-33793_B	2	7YFO_EMD-33795_B	residue_sum=339	116	223	33	26
7YJJ_EMD-33872_A	1	7YJJ_EMD-33872_A	singleton	70	160	32	18
7YKL_EMD-32399_A	3	7YKK_EMD-32397_A	residue_sum=350	61	289	18	31
7YL9_EMD-33215_A	1	7YL9_EMD-33215_A	singleton	291	22	51	6
7YLU_EMD-33917_E	1	7YLU_EMD-33917_E	singleton	75	273	21	20
7YLU_EMD-33917_Q	1	7YLU_EMD-33917_Q	singleton	89	256	22	21
7YSJ_EMD-34076_A	2	7LVT_EMD-23542_A	residue_sum=429	130	299	38	30
7YU7_EMD-34101_B	2	7YU7_EMD-34101_B	residue_sum=181	153	28	28	2
7YUU_EMD-34111_A	1	7YUU_EMD-34111_A	singleton	70	206	19	23
7YV9_EMD-34121_A	3	7YV9_EMD-34121_A	residue_sum=769	106	663	27	31
7YV9_EMD-34121_B	9	7WJI_EMD-32544_C	residue_sum=824	20	804	10	63
7YZY_EMD-14399_A	1	7YZY_EMD-14399_A	singleton	145	71	24	7
7YZY_EMD-14399_B	1	7YZY_EMD-14399_B	singleton	8	158	2	10
7YZY_EMD-14399_C	1	7YZY_EMD-14399_C	singleton	0	173	0	8
7Z4A_EMD-14489_A	1	7Z4A_EMD-14489_A	singleton	26	78	6	8
7Z4A_EMD-14489_C	1	7Z4A_EMD-14489_C	singleton	71	49	20	5
7Z4A_EMD-14489_D	1	7Z4A_EMD-14489_D	singleton	52	50	20	6
7Z4A_EMD-14489_G	1	7Z4A_EMD-14489_G	singleton	57	41	18	4
7Z4A_EMD-14489_I	1	7Z4A_EMD-14489_I	singleton	76	61	22	7
7Z4Y_EMD-14510_A	1	7Z4Y_EMD-14510_A	singleton	12	49	3	3
7Z4Y_EMD-14510_B	1	7Z4Y_EMD-14510_B	singleton	115	404	31	42
7ZHS_EMD-14736_A	1	7ZHS_EMD-14736_A	singleton	111	25	19	4
7ZKB_EMD-14761_A	2	7OTG_EMD-13059_A	residue_sum=815	94	721	23	43
7ZNN_EMD-14812_A	1	7ZNN_EMD-14812_A	singleton	332	43	77	8
7ZNN_EMD-14812_B	1	7ZNN_EMD-14812_B	singleton	17	270	4	29
7ZNN_EMD-14812_C	1	7ZNN_EMD-14812_C	singleton	71	180	27	18
7ZSK_EMD-14945_A	1	7ZSK_EMD-14945_A	singleton	361	481	76	51
8A5Y_EMD-15199_A	2	8A5Y_EMD-15199_A	residue_sum=104	70	34	15	4
8A5Y_EMD-15199_B	2	8A5Y_EMD-15199_B	residue_sum=374	2	372	2	29
8A5Y_EMD-15199_D	2	8A5Y_EMD-15199_D	residue_sum=396	0	396	0	29
8A5Y_EMD-15199_G	2	8A5Y_EMD-15199_G	residue_sum=21	0	21	0	2
8A5Y_EMD-15199_N	2	8A5Y_EMD-15199_N	residue_sum=49	4	45	2	4
8A5Y_EMD-15199_O	2	8A61_EMD-15201_O	residue_sum=455	12	443	6	34
8A5Y_EMD-15199_P	2	8A5Y_EMD-15199_P	residue_sum=394	0	394	0	30
8A5Y_EMD-15199_Q	2	8A5Y_EMD-15199_Q	residue_sum=396	153	243	32	15
8A61_EMD-15201_H	2	8A61_EMD-15201_H	residue_sum=382	2	380	2	30
8A61_EMD-15201_I	2	8A5Y_EMD-15199_I	residue_sum=52	9	43	5	6
8A61_EMD-15201_J	2	8A5Y_EMD-15199_J	residue_sum=374	2	372	2	29
8A61_EMD-15201_K	2	8A5Y_EMD-15199_K	residue_sum=381	0	381	0	32
8A61_EMD-15201_L	2	8A5Y_EMD-15199_L	residue_sum=396	0	396	0	29
8A6J_EMD-15209_A	4	8A41_EMD-15134_A	residue_sum=298	173	125	42	15
8A7E_EMD-15221_A	1	8A7E_EMD-15221_A	singleton	1	123	1	11
8A7E_EMD-15221_B	1	8A7E_EMD-15221_B	singleton	445	143	114	26
8A8N_EMD-15234_A	1	8A8N_EMD-15234_A	singleton	35	102	9	11
8AFM_EMD-15402_A	3	8AIA_EMD-15465_A	residue_sum=80	0	80	0	1
8AFM_EMD-15402_C	3	8AFM_EMD-15402_C	residue_sum=49	46	3	10	1
8AFX_EMD-15411_A	1	8AFX_EMD-15411_A	singleton	169	0	31	0
8AKU_EMD-15493_A	17	9HZZ_EMD-52539_A	residue_sum=201	0	201	0	7
8AT2_EMD-15631_A	2	8FCK_EMD-28981_A	residue_sum=233	1	232	1	8
8AT2_EMD-15631_B	2	8FCK_EMD-28981_B	residue_sum=482	4	478	4	21
8AT2_EMD-15631_C	2	8AT2_EMD-15631_C	residue_sum=301	1	300	1	11
8AT2_EMD-15631_D	2	8FCK_EMD-28981_D	residue_sum=538	13	525	7	20
8ATX_EMD-15668_A	3	8AUW_EMD-15675_A	residue_sum=1838	447	1391	90	123
8AUK_EMD-15672_C	1	8AUK_EMD-15672_C	singleton	63	25	13	4
8AUW_EMD-15675_C	1	8AUW_EMD-15675_C	singleton	2	139	1	4
8AVC_EMD-15678_A	3	8DH9_EMD-27433_C	residue_sum=99	2	97	1	5
8AVC_EMD-15678_B	3	8DH8_EMD-27432_A	residue_sum=367	341	26	66	8
8AVE_EMD-15680_A	3	8AVO_EMD-15683_A	residue_sum=99	2	97	1	7
8AVE_EMD-15680_B	3	8AVF_EMD-15681_B	residue_sum=306	292	14	58	4
8AY4_EMD-15710_A	2	8AY4_EMD-15710_A	residue_sum=119	88	31	21	8
8AY4_EMD-15710_B	2	8AY4_EMD-15710_B	residue_sum=127	91	36	19	10
8AY4_EMD-15710_C	2	8AY4_EMD-15710_C	residue_sum=90	65	25	16	5
8AY4_EMD-15710_D	1	8AY4_EMD-15710_D	singleton	0	4	0	1
8B2X_EMD-15820_A	1	8B2X_EMD-15820_A	singleton	52	305	18	30
8B42_EMD-15837_A	1	8B42_EMD-15837_A	singleton	89	330	24	32
8B42_EMD-15837_E	2	8B40_EMD-15835_A	residue_sum=393	91	302	26	29
8B5R_EMD-15861_A	5	7Y59_EMD-33613_E	residue_sum=420	110	310	29	32
8B5R_EMD-15861_H	1	8B5R_EMD-15861_H	singleton	43	104	13	10
